lead_id,name,signup_date,source,email_opens_30d,email_clicks_30d,site_visits_30d,pricing_page_visits_30d,cart_abandons_90d,wishlist_items,past_purchases,lifetime_value,days_since_last_activity,_true_persona
HC-0098,Skyler Meyer,2025-06-24,Paid Social,6,1,4,0,0,3,0,0.0,22,Window Shopper
HC-0099,Felix Rossi,2024-10-25,Email Referral,13,5,20,3,0,4,11,6695.53,16,Whale Collector
HC-0100,Taylor Petrov,2024-09-30,Organic Search,2,0,2,0,0,2,8,4438.22,60,At-Risk VIP
HC-0101,Elena Novak,2026-07-09,Organic Search,0,1,4,0,0,2,0,0.0,10,New Signup
HC-0102,Quinn Tanaka,2023-09-26,Influencer,1,0,0,0,0,1,1,323.54,156,Lapsed Buyer
HC-0103,Naomi Kim,2025-11-28,Direct,6,1,2,0,0,0,0,0.0,34,Window Shopper
HC-0104,Riley Okafor,2025-04-01,Convention Booth,5,0,7,1,0,1,0,0.0,9,Window Shopper
HC-0105,Quinn Fuentes,2026-07-11,Paid Social,3,2,2,2,0,1,0,0.0,2,New Signup
HC-0106,Quinn Kim,2025-06-21,Direct,5,2,5,0,0,0,0,0.0,9,Window Shopper
HC-0107,Rowan Barros,2024-07-04,Direct,0,0,0,0,0,2,2,671.15,303,Lapsed Buyer
HC-0108,Reese Barros,2024-04-15,Organic Search,1,0,0,0,0,1,3,992.18,226,Lapsed Buyer
HC-0109,Felix Novak,2026-03-18,Convention Booth,5,1,2,0,0,1,0,0.0,13,Window Shopper
HC-0110,Devon Kowalski,2026-01-26,Direct,9,0,1,1,0,2,0,0.0,12,Window Shopper
HC-0111,Reese Fuentes,2024-09-08,Organic Search,1,0,0,0,0,0,2,650.26,207,Lapsed Buyer
HC-0112,Kenji Ito,2026-07-09,Email Referral,2,1,1,2,0,0,0,0.0,8,New Signup
HC-0113,Jordan Kim,2026-03-13,Convention Booth,15,7,7,3,0,4,0,0.0,0,Engaged Prospect
HC-0114,Morgan Larsen,2026-07-28,Influencer,3,0,1,0,0,0,1,214.4,5,New Signup
HC-0115,Avery Haddad,2022-10-11,Convention Booth,8,4,14,0,1,9,20,9501.24,12,Whale Collector
HC-0116,Priya Reyes,2025-06-13,Paid Social,1,0,0,0,0,0,1,451.72,124,Lapsed Buyer
HC-0117,Kenji Nguyen,2026-07-28,Convention Booth,2,1,3,0,0,2,0,0.0,2,New Signup
HC-0118,Riley Meyer,2026-06-22,Paid Social,8,1,11,3,1,8,0,0.0,3,Engaged Prospect
HC-0119,Quinn Kim,2026-02-13,Paid Social,2,0,3,0,0,0,0,0.0,24,Window Shopper
HC-0120,Marcus Okafor,2026-07-10,Convention Booth,5,0,6,0,1,0,0,0.0,6,New Signup
HC-0121,Quinn Barros,2025-05-12,Email Referral,14,5,9,1,1,1,12,5523.61,15,Whale Collector
HC-0122,Jordan Torres,2023-08-01,Email Referral,2,0,0,0,0,3,1,289.24,233,Lapsed Buyer
HC-0123,Lucia Kim,2026-07-16,Influencer,1,0,5,1,1,0,0,0.0,0,New Signup
HC-0124,Emerson Torres,2025-03-09,Email Referral,8,4,1,0,0,0,0,0.0,25,Window Shopper
HC-0125,Omar Osei,2024-11-03,Convention Booth,1,0,1,0,0,1,1,359.11,130,Lapsed Buyer
HC-0126,Jordan Haddad,2026-05-18,Influencer,10,5,6,5,0,6,0,0.0,5,Engaged Prospect
HC-0127,Marcus Kowalski,2026-04-07,Organic Search,9,5,11,3,2,2,0,0.0,9,Engaged Prospect
HC-0128,Alex Kim,2024-09-14,Convention Booth,6,1,5,0,0,0,0,0.0,27,Window Shopper
HC-0129,Quinn Larsen,2026-06-12,Direct,17,3,9,3,2,5,0,0.0,3,Engaged Prospect
HC-0130,Lucia Haddad,2026-01-27,Influencer,3,1,5,0,0,0,0,0.0,42,Window Shopper
HC-0131,Diego Torres,2026-07-28,Email Referral,3,1,4,1,0,1,0,0.0,7,New Signup
HC-0132,Kenji Haddad,2025-03-02,Email Referral,0,3,2,0,0,0,0,0.0,13,Window Shopper
HC-0133,Ingrid Chen,2025-11-05,Paid Social,7,0,5,0,0,0,0,0.0,15,Window Shopper
HC-0134,Avery Novak,2026-02-11,Paid Social,8,5,8,1,1,2,0,0.0,4,Engaged Prospect
HC-0135,Andre Silva,2026-07-05,Organic Search,0,0,4,0,0,0,0,0.0,7,New Signup
HC-0136,Omar Fuentes,2025-11-06,Convention Booth,4,0,4,0,0,0,0,0.0,36,Window Shopper
HC-0137,Priya Larsen,2026-07-20,Direct,4,1,0,0,0,0,0,0.0,13,New Signup
HC-0138,Reese Okafor,2026-05-24,Organic Search,6,0,3,0,0,1,0,0.0,25,Window Shopper
HC-0139,Diego Lindqvist,2026-01-29,Organic Search,10,4,4,0,0,0,0,0.0,6,Window Shopper
HC-0140,Alex Rossi,2026-07-21,Email Referral,4,0,2,0,0,1,0,0.0,10,New Signup
HC-0141,Ingrid Chen,2023-09-17,Influencer,0,0,1,0,0,4,3,825.95,262,Lapsed Buyer
HC-0142,Andre Torres,2025-06-22,Direct,9,0,5,1,0,1,0,0.0,28,Window Shopper
HC-0143,Devon Okafor,2025-12-15,Organic Search,2,2,2,0,0,1,0,0.0,15,Window Shopper
HC-0144,Zara Kim,2026-07-25,Convention Booth,6,1,5,0,0,1,0,0.0,6,New Signup
HC-0145,Taylor Kim,2024-12-29,Email Referral,5,0,3,0,0,2,0,0.0,3,Window Shopper
HC-0146,Devon Meyer,2026-07-19,Paid Social,2,1,4,2,0,0,0,0.0,0,New Signup
HC-0147,Marcus Nguyen,2023-09-15,Influencer,17,6,7,6,2,5,19,9002.46,4,Whale Collector
HC-0148,Victor Petrov,2026-06-20,Paid Social,5,0,2,0,0,1,0,0.0,38,Window Shopper
HC-0149,Omar Kim,2024-12-14,Convention Booth,0,1,0,0,0,2,0,0.0,10,Window Shopper
HC-0150,Morgan Mbeki,2026-07-15,Organic Search,1,0,5,0,0,0,0,0.0,1,New Signup
HC-0151,Lucia Reyes,2026-06-19,Influencer,12,5,6,2,3,3,0,0.0,2,Engaged Prospect
HC-0152,Andre Meyer,2026-07-23,Organic Search,7,1,4,0,0,0,0,0.0,6,New Signup
HC-0153,Hayden Reyes,2023-07-29,Direct,0,0,0,0,0,2,3,833.95,359,Lapsed Buyer
HC-0154,Lucia Lindqvist,2024-08-07,Organic Search,0,0,0,0,0,0,3,955.5,144,Lapsed Buyer
HC-0155,Rowan Barros,2023-08-07,Direct,1,0,1,0,0,0,3,1203.55,113,Lapsed Buyer
HC-0156,Rowan Nguyen,2026-07-21,Organic Search,4,0,3,0,0,0,0,0.0,1,New Signup
HC-0157,Reese Chen,2025-01-26,Email Referral,6,1,2,0,0,1,0,0.0,15,Window Shopper
HC-0158,Riley Ito,2024-11-12,Paid Social,1,2,0,0,0,1,0,0.0,40,Window Shopper
HC-0159,Ingrid Kowalski,2026-03-09,Paid Social,7,2,11,3,2,3,0,0.0,6,Engaged Prospect
HC-0160,Ingrid Tanaka,2022-12-21,Convention Booth,14,5,7,4,1,6,20,11447.32,18,Whale Collector
HC-0161,Rowan Anders,2026-02-26,Paid Social,11,9,8,4,2,0,0,0.0,0,Engaged Prospect
HC-0162,Reese Silva,2026-07-22,Direct,2,1,1,0,0,0,0,0.0,8,New Signup
HC-0163,Marcus Anders,2026-07-25,Paid Social,5,2,5,0,1,1,0,0.0,8,New Signup
HC-0164,Hayden Petrov,2024-08-23,Direct,0,0,1,0,0,0,13,4052.22,98,At-Risk VIP
HC-0165,Naomi Mbeki,2025-04-25,Email Referral,2,0,0,0,0,3,1,476.74,92,Lapsed Buyer
HC-0166,Zara Barros,2025-11-19,Convention Booth,3,0,1,0,0,0,0,0.0,13,Window Shopper
HC-0167,Taylor Osei,2023-08-11,Email Referral,0,0,0,0,0,0,2,710.07,257,Lapsed Buyer
HC-0168,Alex Larsen,2023-07-07,Convention Booth,1,0,0,0,0,2,2,711.84,105,Lapsed Buyer
HC-0169,Sofia Kim,2025-03-21,Influencer,9,2,3,0,0,1,0,0.0,31,Window Shopper
HC-0170,Casey Silva,2026-07-06,Organic Search,5,0,0,2,0,0,0,0.0,1,New Signup
HC-0171,Jordan Meyer,2025-04-04,Influencer,7,0,4,0,0,3,0,0.0,12,Window Shopper
HC-0172,Alex Petrov,2025-09-22,Direct,0,0,0,0,0,4,2,671.28,225,Lapsed Buyer
HC-0173,Riley Kim,2024-05-20,Email Referral,1,0,0,0,0,3,3,1573.29,138,Lapsed Buyer
HC-0174,Omar Tanaka,2026-04-01,Paid Social,8,1,15,2,1,4,0,0.0,8,Engaged Prospect
HC-0175,Amara Okafor,2025-03-20,Paid Social,18,5,13,5,0,7,10,4732.25,4,Whale Collector
HC-0176,Rowan Larsen,2025-08-30,Paid Social,6,0,3,0,0,1,0,0.0,35,Window Shopper
HC-0177,Victor Reyes,2023-06-04,Paid Social,0,0,1,0,0,1,3,1231.52,215,Lapsed Buyer
HC-0178,Victor Torres,2026-07-21,Organic Search,6,2,2,2,0,1,0,0.0,13,New Signup
HC-0179,Elena Novak,2023-09-25,Organic Search,2,0,0,0,0,1,2,754.07,156,Lapsed Buyer
HC-0180,Emerson Kowalski,2022-06-26,Paid Social,3,1,0,0,0,7,9,4895.29,69,At-Risk VIP
HC-0181,Devon Mbeki,2026-07-12,Convention Booth,3,0,1,1,0,0,0,0.0,6,New Signup
HC-0182,Alex Ito,2026-07-11,Email Referral,4,0,2,0,0,0,0,0.0,5,New Signup
HC-0183,Andre Lindqvist,2026-07-19,Direct,3,1,4,0,1,0,0,0.0,8,New Signup
HC-0184,Riley Osei,2025-07-31,Direct,4,1,0,0,0,1,0,0.0,13,Window Shopper
HC-0185,Quinn Ito,2026-07-09,Organic Search,3,3,4,0,0,0,0,0.0,8,New Signup
HC-0186,Morgan Okafor,2022-10-16,Convention Booth,21,6,16,1,0,11,16,9349.53,14,Whale Collector
HC-0187,Sofia Kim,2024-12-17,Email Referral,11,9,14,5,1,10,11,5884.51,11,Whale Collector
HC-0188,Priya Mbeki,2025-01-11,Paid Social,11,5,15,5,1,2,19,10752.16,17,Whale Collector
HC-0189,Zara Meyer,2026-03-25,Influencer,11,4,11,8,2,5,0,0.0,9,Engaged Prospect
HC-0190,Jordan Silva,2026-04-28,Organic Search,8,2,7,3,0,1,0,0.0,0,Engaged Prospect
HC-0191,Hayden Kowalski,2026-07-03,Convention Booth,13,7,7,4,0,8,0,0.0,1,Engaged Prospect
HC-0192,Alex Novak,2026-06-20,Paid Social,7,0,1,0,0,1,0,0.0,22,Window Shopper
HC-0193,Lucia Novak,2024-07-28,Paid Social,12,4,13,2,3,5,11,6001.85,10,Whale Collector
HC-0194,Zara Anders,2024-05-02,Email Referral,1,0,0,0,0,0,1,276.03,114,Lapsed Buyer
HC-0195,Felix Anders,2026-06-24,Organic Search,11,6,3,5,2,3,0,0.0,2,Engaged Prospect
HC-0196,Omar Ito,2024-04-05,Paid Social,0,0,0,0,0,0,2,796.29,310,Lapsed Buyer
HC-0197,Elena Lindqvist,2025-01-28,Paid Social,14,4,5,1,0,6,20,12831.09,7,Whale Collector
HC-0198,Ingrid Petrov,2025-10-03,Convention Booth,6,0,0,0,0,0,0,0.0,18,Window Shopper
HC-0199,Quinn Larsen,2026-07-13,Organic Search,3,0,3,0,0,1,0,0.0,0,New Signup
HC-0200,Felix Silva,2025-07-11,Organic Search,10,3,1,1,0,1,0,0.0,12,Window Shopper
HC-0201,Sam Petrov,2026-07-16,Direct,5,0,0,1,0,2,0,0.0,1,New Signup
HC-0202,Ingrid Kim,2023-05-08,Email Referral,0,0,0,0,0,1,2,966.76,322,Lapsed Buyer
HC-0203,Felix Chen,2024-06-30,Paid Social,1,0,1,0,0,2,1,327.17,196,Lapsed Buyer
HC-0204,Sam Rossi,2026-05-05,Email Referral,8,3,11,5,0,0,0,0.0,9,Engaged Prospect
HC-0205,Andre Larsen,2025-08-05,Influencer,7,1,1,0,0,0,0,0.0,10,Window Shopper
HC-0206,Quinn Fuentes,2025-05-07,Direct,10,4,10,0,0,4,7,4154.58,7,Whale Collector
HC-0207,Amara Haddad,2026-07-31,Paid Social,2,0,5,0,1,1,1,269.4,11,New Signup
HC-0208,Lucia Meyer,2026-07-29,Paid Social,3,1,2,0,0,2,0,0.0,9,New Signup
HC-0209,Kenji Novak,2026-07-13,Direct,1,2,3,0,0,2,1,359.39,5,New Signup
HC-0210,Amara Rossi,2024-08-22,Email Referral,18,2,14,2,0,6,15,6934.86,5,Whale Collector
HC-0211,Diego Osei,2026-03-15,Influencer,7,2,1,0,0,1,0,0.0,6,Window Shopper
HC-0212,Andre Silva,2026-06-28,Direct,6,1,1,0,0,1,0,0.0,43,Window Shopper
HC-0213,Alex Chen,2023-05-12,Organic Search,0,0,0,0,0,12,12,3161.09,52,At-Risk VIP
HC-0214,Casey Meyer,2023-06-17,Organic Search,3,0,0,0,0,2,2,848.29,341,Lapsed Buyer
HC-0215,Rowan Mbeki,2026-07-11,Organic Search,0,0,3,0,1,1,0,0.0,3,New Signup
HC-0216,Jordan Nguyen,2024-11-15,Organic Search,4,1,1,0,0,0,0,0.0,41,Window Shopper
HC-0217,Riley Silva,2026-07-24,Organic Search,0,1,4,2,0,1,0,0.0,6,New Signup
HC-0218,Rowan Nguyen,2026-07-16,Direct,1,0,5,1,0,2,0,0.0,6,New Signup
HC-0219,Victor Barros,2024-02-10,Organic Search,3,0,0,0,0,2,13,4199.86,95,At-Risk VIP
HC-0220,Quinn Kowalski,2023-11-24,Influencer,0,0,0,0,0,2,2,484.88,191,Lapsed Buyer
HC-0221,Naomi Tanaka,2026-07-28,Organic Search,2,1,5,0,0,1,0,0.0,2,New Signup
HC-0222,Rowan Tanaka,2026-04-25,Paid Social,6,8,9,1,2,3,0,0.0,8,Engaged Prospect
HC-0223,Sam Tanaka,2024-12-19,Direct,6,1,2,0,0,1,0,0.0,5,Window Shopper
HC-0224,Sofia Chen,2024-02-06,Email Referral,0,0,0,0,0,1,2,547.35,237,Lapsed Buyer
HC-0225,Zara Tanaka,2024-01-09,Paid Social,1,0,0,0,0,2,2,572.36,224,Lapsed Buyer
HC-0226,Zara Lindqvist,2024-11-28,Organic Search,1,0,1,0,0,6,11,4281.31,98,At-Risk VIP
HC-0227,Zara Larsen,2025-03-28,Paid Social,0,0,0,0,0,0,2,845.44,286,Lapsed Buyer
HC-0228,Casey Haddad,2023-07-16,Organic Search,2,0,0,0,0,2,2,656.51,240,Lapsed Buyer
HC-0229,Amara Fuentes,2026-07-15,Direct,0,1,2,1,1,1,0,0.0,10,New Signup
HC-0230,Taylor Reyes,2026-07-25,Email Referral,2,0,6,0,0,2,0,0.0,0,New Signup
HC-0231,Felix Haddad,2025-12-01,Organic Search,6,1,1,0,0,3,0,0.0,3,Window Shopper
HC-0232,Taylor Petrov,2025-09-02,Influencer,3,0,0,0,0,4,2,572.68,219,Lapsed Buyer
HC-0233,Hayden Kowalski,2026-07-17,Organic Search,3,1,3,2,0,0,0,0.0,0,New Signup
HC-0234,Taylor Mbeki,2026-07-30,Email Referral,2,1,4,0,0,0,0,0.0,1,New Signup
HC-0235,Sam Anders,2026-03-23,Paid Social,8,1,8,3,3,1,0,0.0,5,Engaged Prospect
HC-0236,Skyler Barros,2022-12-31,Influencer,14,5,14,4,0,9,7,2039.9,5,Whale Collector
HC-0237,Skyler Lindqvist,2024-05-06,Organic Search,0,0,0,0,0,3,1,437.07,357,Lapsed Buyer
HC-0238,Omar Osei,2026-06-18,Organic Search,10,5,7,2,3,4,0,0.0,3,Engaged Prospect
HC-0239,Skyler Okafor,2024-10-13,Paid Social,5,0,4,0,0,0,0,0.0,23,Window Shopper
HC-0240,Rowan Silva,2026-07-20,Organic Search,7,0,2,1,0,0,0,0.0,4,New Signup
HC-0241,Andre Barros,2024-10-29,Email Referral,5,2,4,0,0,1,0,0.0,11,Window Shopper
HC-0242,Andre Mbeki,2026-07-05,Paid Social,10,5,8,1,0,5,0,0.0,4,Engaged Prospect
HC-0243,Victor Kowalski,2025-05-14,Organic Search,8,3,4,0,0,0,0,0.0,30,Window Shopper
HC-0244,Felix Lindqvist,2024-11-16,Email Referral,0,0,1,0,0,1,2,863.36,138,Lapsed Buyer
HC-0245,Amara Fuentes,2022-10-11,Email Referral,4,0,1,0,0,4,11,5647.72,85,At-Risk VIP
HC-0246,Alex Fuentes,2025-02-11,Organic Search,8,1,6,0,0,2,0,0.0,35,Window Shopper
HC-0247,Quinn Meyer,2026-03-19,Organic Search,12,3,10,7,1,3,0,0.0,5,Engaged Prospect
HC-0248,Skyler Nguyen,2023-05-19,Influencer,1,0,1,0,0,5,2,728.54,322,Lapsed Buyer
HC-0249,Elena Lindqvist,2026-07-08,Direct,2,2,4,1,0,2,0,0.0,2,New Signup
HC-0250,Sofia Tanaka,2026-02-03,Organic Search,7,1,1,0,0,0,0,0.0,17,Window Shopper
HC-0251,Emerson Fuentes,2024-09-22,Paid Social,6,2,3,0,0,2,0,0.0,33,Window Shopper
